,id,id_download_nonleak,sentinel_img_date_nonleak,landsat_img_date_nonleak,date_diff_img_nonleak,date_diff_leak_nonleak,sentinel_cloud_nonleak,landsat_cloud_nonleak,rmse_nonleak
297,25550.0,25550.0,2020-10-01,2020-10-03,2 days,24 days,0.288377,0.02,236.96386075326149
298,25847.0,25847.0,2020-10-01,2020-10-03,2 days,24 days,0.288377,0.02,335.49357699034164
299,25824.0,25824.0,2020-10-01,2020-10-03,2 days,23 days,0.288377,0.02,228.14483070078515
300,24713.0,24713.0,2020-10-01,2020-10-03,2 days,23 days,0.288377,0.02,248.08466399440965
301,24447.0,24447.0,2020-10-01,2020-10-03,2 days,22 days,0.288377,0.02,331.8150994415334
302,24553.0,24553.0,2020-10-01,2020-10-03,2 days,14 days,0.288377,0.02,217.09575862386336
303,24650.0,24650.0,2020-10-01,2020-10-03,2 days,20 days,0.288377,0.02,414.1439589338322
304,25553.0,25553.0,2020-10-01,2020-10-03,2 days,23 days,0.288377,0.02,366.72668823932975
305,24710.0,24710.0,2020-10-01,2020-10-03,2 days,22 days,0.288377,0.02,216.22447696620122
306,24735.0,24735.0,2020-10-01,2020-10-03,2 days,22 days,0.288377,0.02,303.6296076750603
307,25857.0,25857.0,2020-10-01,2020-10-03,2 days,19 days,0.288377,0.02,273.062446801173
308,25856.0,25856.0,2020-10-01,2020-10-03,2 days,19 days,0.288377,0.02,273.062446801173
309,25872.0,25872.0,2020-10-01,2020-10-03,2 days,22 days,0.288377,0.02,191.45683625481834
310,24648.0,24648.0,2020-10-01,2020-10-03,2 days,21 days,0.288377,0.02,158.84740133923862
311,24453.0,24453.0,2020-10-01,2020-10-03,2 days,20 days,0.288377,0.02,280.44750166035936
312,25855.0,25855.0,2020-10-01,2020-10-03,2 days,21 days,0.288377,0.02,356.41541385786104
313,25798.0,25798.0,2020-10-01,2020-10-03,2 days,21 days,0.288377,0.02,304.4177141019189
314,24462.0,24462.0,2020-10-01,2020-10-03,2 days,21 days,0.288377,0.02,327.60746879165595
315,24472.0,24472.0,2020-10-01,2020-10-03,2 days,19 days,0.288377,0.02,298.16444428682536
316,24470.0,24470.0,2020-10-01,2020-10-03,2 days,13 days,0.288377,0.02,272.09524193698957
317,24697.0,24697.0,2020-10-01,2020-10-03,2 days,16 days,0.288377,0.02,212.51027404727807
318,24476.0,24476.0,2020-10-01,2020-10-03,2 days,16 days,0.288377,0.02,238.91446367537264
319,25561.0,25561.0,2020-10-01,2020-10-03,2 days,13 days,0.288377,0.02,344.1214420278569
320,24701.0,24701.0,2020-10-01,2020-10-03,2 days,14 days,0.288377,0.02,338.04850238709355
321,24458.0,24458.0,2020-10-01,2020-10-03,2 days,13 days,0.288377,0.02,255.27670390764246
322,24551.0,24551.0,2020-10-01,2020-10-03,2 days,13 days,0.288377,0.02,269.47916447484715
323,24677.0,24677.0,2020-10-01,2020-10-03,2 days,13 days,0.288377,0.02,357.3757587658959
324,25944.0,25944.0,2020-10-01,2020-10-03,2 days,10 days,0.288377,0.02,355.85247605142604
325,26202.0,26202.0,2020-10-01,2020-10-03,2 days,10 days,0.288377,0.02,276.5887479995433
326,26063.0,26063.0,2020-10-01,2020-10-03,2 days,10 days,0.288377,0.02,225.94314001084592
327,26159.0,26159.0,2020-10-01,2020-10-03,2 days,9 days,0.288377,0.02,289.31772104088725
328,26009.0,26009.0,2020-10-09,2020-10-12,3 days,14 days,0.156927,0.2,253.79767007742487
329,26248.0,26248.0,2020-10-09,2020-10-12,3 days,15 days,0.156927,0.2,254.1161126169537
