Id,FECHA DE CREACIÓN,FECHA DE INICIO,FECHA FINAL,CODUNIDAD,FECHALEGALIZACION,NOMBREESTADO,NOMBRETRABAJO,CAUSAL,X,Y
1375,26/12/2022,28/12/2022,28/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",777871.9364,2424394.124
1376,29/12/2022,27/12/2022,27/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",780504.5209,2426530.417
1377,27/12/2022,23/12/2022,23/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",780065.0774,2420404.891
1378,25/12/2022,28/12/2022,28/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,784236.6086,2424431.536
1380,27/12/2022,28/12/2022,28/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782797.2703,2428619.232
1381,27/12/2022,28/12/2022,28/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782815.7581,2428635.991
1382,27/12/2022,16/12/2022,16/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",783100.5994,2418839.772
1383,27/12/2022,16/12/2022,16/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782977.7751,2418690.73
1384,27/12/2022,16/12/2022,16/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782987.235,2418382.87
1385,27/12/2022,16/12/2022,16/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",783012.2445,2418455.568
1386,27/12/2022,16/12/2022,16/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",784381.3854,2418868.367
1387,27/12/2022,16/12/2022,16/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",784407.8858,2418863.435
1388,27/12/2022,16/12/2022,16/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",784731.8382,2418981.626
